Tagalog,Part of Speech,Definition
aalug-alog,adj,shaky; rickety
aam,n,broth made from boiled rice
aanga-anga,adj,remaining agape for some time
aapa-apa,adj,groping around
aba,adj,poor; humble; subservient
aba,intrj,Well; Hi!
abahin,v,notify; pay attention to; take care of
abain,v,look down upon; scorn
abain,v,mistreat; treat badly
abaka,n,abaka hemp
abakada,n,alphabet
abakadahin,v,arrange in alphabetical order
abako,n,counting instrument
abala,adj,1. occupied; busy; engaged; 2. absorbed; engrossed; obsessed
abala,n,1. inconvenience; bother; trouble; 2. interruption; disturbance
abala,n,trouble; disturbance
abalahin,v,bother or worry someone
abalang-abala,adj,occupied; busy
abaloryo,n,"decorative glass bead; bead works on a dress, handbag, etc."
abanderado,n,flag-bearer; standard-bearer
abandonada,adj,negligent
abandonado-do,adj,abandoned; neglected
abang,n,watcher
abang-aba,adj,very miserable; wretched
abangan,v,"wait for; stay hidden, ready to attack; ambush"
abangan,n,place where you wait; place where ambushers wait for the victim
abaniko,n,folding fan
abanikuhan,v,fan (e.g. oneself)
abanikuhin,v,use as a fan
abano,n,cigar (tobacco)
abante,n,lead (in a game)
Abante!,intrj,Go ahead! Proceed!
abasto,n,baggage
abat,n,ambush; snare
abatan,v,waylay or ambush someone
abatan,n,place where ambushers wait for the victim
abay,adj,lying or sitting close to each other
abay,n,1. best man at a wedding; maid of honour; 2. escort; attendant
abay (mga -),n,retinue; group of attendants
abay na babae,n,bridesmaid
abay na lalaki,n,best man
abay na pandangal,n,maid of honour (US: honor)
abayan,v,escort; act as best man or bridesmaid
abdikasyon,n,abdication
abelyana,adj,tan; nut-brown
abenida,n,avenue; wide street
abentura,n,adventure
abenturera,n,adventuress
abenturera,n,adventuress
abenturera-ro,n,adventurer; adventuress
abenturero,n,adventurer
abenturero,n,adventurer
abenturosa-so,adj,adventurous
aberia,n,mechanical trouble (machine/vehicle)
aberya,n,mechanical trouble (machine/vehicle)
abestrus,n,ostrich
abilidad,n,ability; talent; shrewdness
abiso,n,information; notice; notification
abisuhan,v,notify; forewarn; tell beforehand
abito,n,habit; dress of a religious order
abitsuwelas,n,small type of kidney bean
abitswelas,n,variety of kidney beans
abla,n,idle talk; too much talk
abnormal,adj,abnormal
abo,n,ash; ashes
abog,n,1. notice; 2. noise
abogado,n,1. lawyer; attorney; 2. solicitor; lawyer (for government); 3. councel
abogasia,n,law; the legal profession
abogasya,n,law; the legal profession
abok,n,dust
abokado,n,avocado
abonado,adj,"ref. to a person who add money to someone else, because he is short of money"
abono,n,1. fertilizer; 2. payment in advance
abonohan,v,1. fertilize; 2. disburse or pay in advance
aborsiyon,n,abortion
abot,adj,within reach
abot,n,power; capacity; range
abot,adj,overtaken; abreast with
abot ng isang kabisa,comp,linear function
abot ng isip,comp,scope; distance the mind can reach
abot ng mata,comp,visibility
abot ng tanaw,comp,visibility
abot ng tingin,comp,visibility
abot-dinig,adj,within hearing
abot-isip,adv,within mental grasp
abot-tanaw,adj,within seeing distance
abot-tanaw,n,horizon
abot-tingin,n,visibility
aboy,adj,being driven to a certain place
abrasador,n,leg pillow
abrasadurin,v,use as leg pillow
abrasete,adj,walking arm-in-arm
abrasibo,adj,abrasive
abrigo,n,overcoat; sweater
abriguhan,v,put an overcoat or sweater on someone
Abril,n,April (month)
abrilata,n,can-opener
abrisete,adj,walking arm-in-arm
absen,n,absence [n]; absent [adj.]
absent,n,absence [n]; absent [adj.]
abses,n,abscess
abseso,n,abscess
absisa,n,abscissa
abstinensiya,n,abstinence
abstinensya,n,abstinence
absulbihan,v,absolve
absulusyon,n,absolution; forgiveness
absulutismo,n,absolutism
absulutista,n,absolutist
absuluto,adj,absolute
absuwelto,adj,absolved; acquitted
absuweltuhin,v,forgive
abswelto,adj,absolved; acquitted
abubot,n,"knick-knacks; ornaments, etc.; worthless material"
abugado,n,1. lawyer; attorney; 2. solicitor (for government); 3. councel
abuhan,n,ash tray
abuhin,v,clean with ashes
abuhin,adj,ash-colored; grey
abukado,n,avocado
abukay,n,white parrot
abuloy,n,1. financial aid; 2. contribution; 3. money raised by many people; 4. subsidy
abuluyan,v,give some help
abuluyan,n,mutual aid
abunado,adj,"ref. to a person who add money to someone, because he is short of money"
aburido,adj,upset; distrurbed; worried; depressed
aburiduhin,v,"upset, disturb or worry"
abusada,adj,abusive (ref. to a person)
abusado,adj,abusive (ref. to a person)
abusera,adj,abusive; one who abuses other's kindness
abusero,adj,abusive; one who abuses other's kindness
abuso,n,abuse; maltreatment
abusuhin,v,1. abuse; 2. take advantage of; 3. ill-treat; 4. rape a woman
abut-abot,adj,continuous; chain
abut-abot na paninigarilyo,comp,chain-smoking
abutan,v,overtake someone; catch up
abutan,v,hand something
abutan,n,cash on delivery; C.O.D
abutin,v,overtake someone; catch up
abutin,v,reach for
abuwela,n,Grandmother
abuwelo,n,Grandfather
abuy-aboy,adj,being driven to a certain place
abyad,n,job or task in hand
abyador,n,aviator; pilot
